Assay Type,Target Name,pEC50,MW,LogP,H_Donors,H_Acceptors,TPSA,Ring_Count,Rotatable_Bonds
F,Dopamine D1 receptor,9.193820026016112,295.382,3.1308000000000007,3.0,3.0,52.49,4.0,1.0
F,Dopamine D1 receptor,7.431798275933005,189.642,1.0208,3.0,3.0,66.48,1.0,2.0
F,Dopamine D1 receptor,7.251811972993799,291.7780000000001,2.797200000000001,3.0,3.0,52.49,3.0,1.0
F,Dopamine D1 receptor,8.142667503568731,267.32800000000003,2.6477000000000004,3.0,3.0,52.49,4.0,0.0
F,Dopamine D1 receptor,6.3585258894959,362.26700000000017,3.2681000000000022,3.0,3.0,52.49,4.0,0.0
F,Dopamine D1 receptor,6.2441251443275085,364.23900000000015,2.7143000000000006,3.0,4.0,61.72,4.0,0.0
F,Dopamine D1 receptor,6.2335871528876,380.30700000000013,3.4276000000000026,3.0,4.0,52.49,4.0,0.0
F,Dopamine D1 receptor,8.2518119729938,363.84100000000007,3.1923000000000026,2.0,5.0,62.16000000000001,4.0,2.0
F,Dopamine D1 receptor,4.0,363.84100000000007,3.1923000000000026,2.0,5.0,62.16000000000001,4.0,2.0
F,Dopamine D1 receptor,6.769551078621726,255.31699999999998,2.3754,3.0,3.0,52.49,3.0,1.0
F,Dopamine D1 receptor,4.796695083861517,325.36400000000003,2.785000000000001,1.0,5.0,51.16000000000001,5.0,1.0
F,Dopamine D1 receptor,5.8696662315049934,341.40700000000015,3.073500000000001,1.0,5.0,51.160000000000004,4.0,3.0
F,Dopamine D1 receptor,6.886056647693163,255.31699999999998,2.3754,3.0,3.0,52.49,3.0,1.0
F,Dopamine D1 receptor,6.1249387366083,343.85400000000016,3.934820000000003,2.0,3.0,43.7,4.0,1.0
F,Dopamine D1 receptor,7.958607314841775,343.85400000000016,3.934820000000003,2.0,3.0,43.7,4.0,1.0
F,Dopamine D1 receptor,8.096910013008056,359.8530000000002,3.6350000000000025,2.0,4.0,52.93,4.0,2.0
F,Dopamine D1 receptor,8.301029995663981,409.40400000000017,3.880200000000003,2.0,5.0,62.160000000000004,4.0,3.0
F,Dopamine D1 receptor,6.5003129173815966,459.97300000000024,5.7213000000000065,3.0,4.0,63.93000000000001,6.0,2.0
F,Dopamine D1 receptor,6.130181792020672,473.44400000000013,5.350300000000007,2.0,4.0,46.940000000000005,5.0,3.0
F,Dopamine D1 receptor,7.978810700930062,409.9130000000002,4.568100000000006,3.0,4.0,63.93000000000001,5.0,2.0
F,Dopamine D1 receptor,6.931814138253839,333.815,2.7640000000000025,3.0,4.0,63.93000000000001,4.0,1.0
F,Dopamine D1 receptor,7.107905397309519,393.91400000000004,4.862500000000006,2.0,3.0,43.7,5.0,2.0
F,Dopamine D1 receptor,7.6595558851598815,317.8160000000001,3.580120000000003,2.0,3.0,43.7,4.0,0.0
F,Dopamine D1 receptor,7.590066876668706,267.328,2.8499000000000025,2.0,3.0,43.7,4.0,0.0
F,Dopamine D1 receptor,7.721246399047171,343.92,3.123600000000002,1.0,4.0,32.7,3.0,4.0
F,Dopamine D1 receptor,6.3979400086720375,361.8730000000001,2.8889000000000014,1.0,5.0,50.52,4.0,4.0
F,Dopamine D1 receptor,7.130768280269024,398.3340000000001,3.310700000000003,1.0,5.0,50.52,4.0,4.0
F,Dopamine D1 receptor,6.638272163982407,328.41600000000005,1.6304999999999996,1.0,6.0,63.41000000000001,4.0,4.0
F,Dopamine D1 receptor,6.823908740944319,328.41600000000005,1.6304999999999996,1.0,6.0,63.41000000000001,4.0,4.0
F,Dopamine D1 receptor,5.4089353929735005,403.52600000000024,3.9025000000000034,1.0,5.0,50.52,5.0,5.0
F,Dopamine D1 receptor,6.443697499232712,403.52600000000024,3.9025000000000034,1.0,5.0,50.52,5.0,5.0
F,Dopamine D1 receptor,6.6777807052660805,327.42800000000005,2.2355,1.0,5.0,50.52,4.0,4.0
F,Dopamine D1 receptor,7.050609993355087,327.42800000000005,2.2355,1.0,5.0,50.52,4.0,4.0
F,Dopamine D1 receptor,5.0,295.81,2.3920000000000003,1.0,3.0,32.7,4.0,2.0
F,Dopamine D1 receptor,5.0,295.81,2.3920000000000003,1.0,3.0,32.7,4.0,2.0
F,Dopamine D1 receptor,6.481486060122113,281.78299999999996,2.1680000000000006,1.0,3.0,32.7,3.0,2.0
F,Dopamine D1 receptor,6.823908740944319,283.7989999999999,2.392000000000001,1.0,3.0,32.7,3.0,2.0
F,Dopamine D1 receptor,6.920818753952375,269.772,2.0019000000000005,1.0,3.0,32.7,3.0,1.0
F,Dopamine D1 receptor,5.0,255.745,1.6118,1.0,3.0,32.7,3.0,0.0
F,Dopamine D1 receptor,7.080921907623926,359.38800000000003,3.6147000000000027,2.0,3.0,60.769999999999996,3.0,2.0
F,Dopamine D1 receptor,5.0,298.22400000000005,2.7791000000000006,1.0,2.0,23.47,3.0,0.0
F,Dopamine D1 receptor,7.552841968657781,315.482,4.265700000000003,1.0,3.0,23.47,3.0,6.0
F,Dopamine D1 receptor,7.4089353929735005,153.18099999999998,0.5989999999999998,3.0,3.0,66.48,1.0,2.0
F,Dopamine D1 receptor,7.638272163982407,327.38000000000017,2.7705,2.0,5.0,62.160000000000004,4.0,2.0
F,Dopamine D1 receptor,6.7447274948966935,255.31699999999998,2.3754,3.0,3.0,52.49,3.0,1.0
F,Dopamine D1 receptor,4.522878745280337,1721.1650000000004,3.071169999999979,21.0,19.0,562.3399999999999,5.0,55.0
F,Dopamine D1 receptor,5.300000202445418,259.34900000000005,2.5775000000000006,2.0,3.0,41.489999999999995,2.0,6.0
F,Dopamine D1 receptor,5.300000202445418,260.14599999999996,1.5871,2.0,4.0,44.730000000000004,2.0,5.0
F,Dopamine D1 receptor,5.300000202445418,260.14599999999996,1.5870999999999995,2.0,4.0,44.730000000000004,2.0,5.0
B,Dopamine D1 receptor,6.606424796730413,255.31699999999998,2.3754,3.0,3.0,52.49,3.0,1.0
F,Dopamine D1 receptor,6.634512015109101,153.18099999999998,0.5989999999999998,3.0,3.0,66.48,1.0,2.0
F,Dopamine D1 receptor,5.639595945270061,291.31,4.020600000000003,0.0,5.0,53.08,4.0,3.0
F,Dopamine D1 receptor,5.909389292171594,305.33700000000005,4.329020000000003,0.0,5.0,53.080000000000005,4.0,3.0
F,Dopamine D1 receptor,5.617802789622546,333.3910000000001,5.238600000000004,0.0,5.0,53.08,4.0,3.0
F,Dopamine D1 receptor,5.955460239607589,347.4180000000001,5.547020000000004,0.0,5.0,53.080000000000005,4.0,3.0
F,Dopamine D1 receptor,6.048176964684088,361.4450000000001,5.855440000000005,0.0,5.0,53.080000000000005,4.0,3.0
F,Dopamine D1 receptor,5.942714355581785,342.35800000000006,4.662420000000003,0.0,6.0,65.97,5.0,3.0
F,Dopamine D1 receptor,6.380906669373258,356.3850000000001,4.9708400000000035,0.0,6.0,65.97,5.0,3.0
F,Dopamine D1 receptor,5.875169850586141,368.39200000000005,5.843900000000004,0.0,5.0,57.38,5.0,4.0
F,Dopamine D1 receptor,6.085656842880559,327.343,4.934800000000004,0.0,5.0,52.56,5.0,3.0
